[
[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5],
[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5],
[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5],
[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5],
[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5],
[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5],
[5, 5, 5, 5, 5, 5,11, 8, 8, 8, 8, 8, 8, 8,13, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5],
[5, 5, 5, 5, 5, 5, 6, 0, 0, 0,25, 0, 0, 0, 4, 5,11, 8, 8, 8,13, 5, 5, 5,11, 8, 8, 8, 8,13, 5, 5, 5, 5, 5, 5],
[5, 5, 5, 5, 5, 5, 6, 0, 0, 0, 0, 0, 0, 0, 7, 8, 9, 0, 0,25, 4, 5,11, 8, 9, 0,25, 0, 0, 4, 5, 5, 5, 5, 5, 5],
[5, 5, 5, 5, 5, 5, 6,81, 0, 0, 0,52, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 9, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 5, 5, 5],
[5, 5, 5, 5, 5, 5,17, 3, 0, 0, 0, 0, 0,23, 0,21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 5, 5, 5],
[5, 5, 5, 5, 5, 5, 5,17, 3,51,21, 0, 1, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,82, 0, 4, 5, 5, 5, 5, 5, 5],
[5, 5, 5, 5, 5, 5, 5, 5,17, 2, 2, 2,19,11, 8, 9, 0, 0, 1, 3, 0,52, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 5, 5, 5],
